"AdvisoryNumber","Date","Lat","Long","Wind","Pres","Movement","Type","Name","Received","Forecaster"
"1","08/23/2005 17:00","23.2","75.5","35","1007","NORTHWEST NEAR  8 MPH","Tropical Depression","TWELVE","08/23/2005 16:43","Stewart"
"1A","08/23/2005 20:00","23.3","75.8","35","1007","WEST-NORTHWEST NEAR  7 MPH","Tropical Depression","TWELVE","08/23/2005 20:03","Knabb"
"2","08/23/2005 23:00","23.4","76.0","35","1007","NORTHWEST NEAR  7 MPH","Tropical Depression","TWELVE","08/23/2005 22:52","Knabb"
"2A","08/24/2005 02:00","23.6","76.0","35","1007","NORTHWEST NEAR  5 MPH","Tropical Depression","TWELVE","08/24/2005 01:52","Beven"
"3","08/24/2005 05:00","24.0","76.4","35","1006","NORTHWEST NEAR  7 MPH","Tropical Depression","TWELVE","08/24/2005 04:34","Beven"
"3A","08/24/2005 08:00","24.4","76.6","35","1006","NORTHWEST NEAR  8 MPH","Tropical Depression","TWELVE","08/24/2005 07:58","Stewart"
"4","08/24/2005 11:00","24.7","76.7","40","1006","NORTH-NORTHWEST NEAR  8 MPH","Tropical Storm","Katrina","08/24/2005 10:49","Stewart"
"4A","08/24/2005 14:00","25.2","77.0","45","1003","NORTH-NORTHWEST NEAR  8 MPH","Tropical Storm","Katrina","08/24/2005 13:58","Stewart"
"5","08/24/2005 17:00","25.6","77.2","45","1002","NORTHWEST NEAR  9 MPH","Tropical Storm","Katrina","08/24/2005 16:37","Stewart"
"5A","08/24/2005 20:00","26.0","77.6","45","1001","WEST-NORTHWEST NEAR  9 MPH","Tropical Storm","Katrina","08/24/2005 19:43","Avila"
"6","08/24/2005 23:00","26.0","78.0","50","1001","WEST NEAR  8 MPH","Tropical Storm","Katrina","08/24/2005 22:40","Avila"
"6A","08/25/2005 02:00","26.1","78.4","50","1000","WEST NEAR  8 MPH","Tropical Storm","Katrina","08/25/2005 01:49","Beven"
"7","08/25/2005 05:00","26.2","78.7","50","1000","WEST NEAR  8 MPH","Tropical Storm","Katrina","08/25/2005 04:34","Beven"
"7A","08/25/2005 08:00","26.2","79.0","50","999","WEST NEAR  8 MPH","Tropical Storm","Katrina","08/25/2005 07:49","Stewart"
"8","08/25/2005 11:00","26.2","79.3","60","997","WEST NEAR  6 MPH","Tropical Storm","Katrina","08/25/2005 10:37","Stewart"
"8A","08/25/2005 13:00","26.2","79.5","65","990","WEST NEAR  6 MPH","Tropical Storm","Katrina","08/25/2005 12:46","Stewart"
"8B","08/25/2005 15:00","26.2","79.6","70","990","WEST NEAR  6 MPH","Tropical Storm","Katrina","08/25/2005 15:00","Stewart"
"9","08/25/2005 17:00","26.1","79.9","75","985","WEST NEAR  6 MPH","Hurricane","Katrina","08/25/2005 16:52","Stewart"
"9A","08/25/2005 19:00","25.9","80.1","80","985","WEST NEAR  6 MPH","Hurricane","Katrina","08/25/2005 18:55","Avila"
"9B","08/25/2005 21:00","25.8","80.4","80","984","WEST NEAR  6 MPH","Hurricane","Katrina","08/25/2005 20:58","Avila"
"10","08/25/2005 23:00","25.5","80.7","75","984","SOUTHWEST NEAR  8 MPH","Hurricane","Katrina","08/25/2005 22:58","Avila"
"10A","08/26/2005 01:00","25.4","81.1","70","990","SOUTHWEST NEAR  8 MPH","Tropical Storm","Katrina","08/26/2005 01:05","Knabb"
"10B","08/26/2005 03:00","25.3","81.3","70","990","WEST-SOUTHWEST NEAR 11 MPH","Tropical Storm","Katrina","08/26/2005 03:05","Knabb"
"11","08/26/2005 05:00","25.3","81.5","75","987","WEST NEAR  5 MPH","Hurricane","Katrina","08/26/2005 04:55","Knabb"
"11A","08/26/2005 07:00","25.3","81.8","75","987","WEST NEAR  5 MPH","Hurricane","Katrina","08/26/2005 06:58","Stewart"
"11B","08/26/2005 09:00","25.2","82.0","75","987","WEST NEAR  6 MPH","Hurricane","Katrina","08/26/2005 09:00","Stewart"
"12","08/26/2005 11:00","25.1","82.2","80","981","WEST NEAR  7 MPH","Hurricane","Katrina","08/26/2005 11:02","Stewart"
"13","08/26/2005 11:30","25.1","82.2","100","971","WEST NEAR  7 MPH","Hurricane","Katrina","08/26/2005 11:31","Stewart"
"13A","08/26/2005 14:00","24.9","82.6","100","969","WEST-SOUTHWEST NEAR  8 MPH","Hurricane","Katrina","08/26/2005 14:04","Stewart"
"14","08/26/2005 17:00","24.8","82.9","100","965","WEST-SOUTHWEST NEAR  8 MPH","Hurricane","Katrina","08/26/2005 16:40","Stewart"
"14A","08/26/2005 20:00","24.7","83.3","100","965","WEST-SOUTHWEST NEAR  8 MPH","Hurricane","Katrina","08/26/2005 19:46","Avila"
"15","08/26/2005 23:00","24.6","83.6","105","965","WEST-SOUTHWEST NEAR  8 MPH","Hurricane","Katrina","08/26/2005 22:52","Avila"
"15A","08/27/2005 02:00","24.4","84.0","110","963","WEST-SOUTHWEST NEAR  8 MPH","Hurricane","Katrina","08/27/2005 02:03","Knabb"
"16","08/27/2005 05:00","24.4","84.4","115","945","WEST NEAR  7 MPH","Hurricane","Katrina","08/27/2005 04:52","Knabb"
"16A","08/27/2005 08:00","24.4","84.6","115","940","WEST NEAR  7 MPH","Hurricane","Katrina","08/27/2005 07:49","Beven"
"17","08/27/2005 11:00","24.5","85.0","115","940","WEST NEAR  7 MPH","Hurricane","Katrina","08/27/2005 10:55","Beven"
"17A","08/27/2005 14:00","24.5","85.4","115","949","WEST NEAR  7 MPH","Hurricane","Katrina","08/27/2005 13:43","Beven"
"18","08/27/2005 17:00","24.6","85.6","115","945","WEST NEAR  7 MPH","Hurricane","Katrina","08/27/2005 16:37","Beven"
"18A","08/27/2005 20:00","24.8","85.9","115","944","WEST-NORTHWEST NEAR  7 MPH","Hurricane","Katrina","08/27/2005 19:55","Avila"
"19","08/27/2005 23:00","25.0","86.2","115","939","WEST-NORTHWEST NEAR  7 MPH","Hurricane","Katrina","08/27/2005 22:49","Avila"
"20","08/28/2005 02:00","25.1","86.8","145","935","WEST-NORTHWEST NEAR  8 MPH","Hurricane","Katrina","08/28/2005 02:14","Knabb"
"21","08/28/2005 05:00","25.4","87.4","145","935","WEST-NORTHWEST NEAR 10 MPH","Hurricane","Katrina","08/28/2005 04:52","Knabb"
"22","08/28/2005 08:00","25.7","87.7","160","908","WEST-NORTHWEST NEAR 12 MPH","Hurricane","Katrina","08/28/2005 07:55","Knabb/pasch"
"23","08/28/2005 11:00","26.0","88.1","175","907","WEST-NORTHWEST NEAR 12 MPH","Hurricane","Katrina","08/28/2005 10:46","Pasch"
"23A","08/28/2005 14:00","26.5","88.6","175","906","NORTHWEST NEAR 13 MPH","Hurricane","Katrina","08/28/2005 13:40","Pasch"
"24","08/28/2005 17:00","26.9","89.0","165","902","NORTHWEST NEAR 13 MPH","Hurricane","Katrina","08/28/2005 16:45","Pasch"
"24A","08/28/2005 20:00","27.2","89.1","160","904","NORTH-NORTHWEST NEAR 11 MPH","Hurricane","Katrina","08/28/2005 20:00","Franklin"
"25","08/28/2005 23:00","27.6","89.4","160","904","NORTH-NORTHWEST NEAR 10 MPH","Hurricane","Katrina","08/28/2005 22:56","Franklin"
"25A","08/29/2005 00:00","27.9","89.5","160","908","NORTH-NORTHWEST NEAR 10 MPH","Hurricane","Katrina","08/29/2005 00:58","Stewart"
"25B","08/29/2005 03:00","28.2","89.6","155","910","NORTH NEAR 12 MPH","Hurricane","Katrina","08/29/2005 03:00","Stewart"
"26","08/29/2005 05:00","28.8","89.6","150","915","NORTH NEAR 15 MPH","Hurricane","Katrina","08/29/2005 04:52","Stewart"
"26A","08/29/2005 07:00","29.1","89.6","145","918","NORTH NEAR 15 MPH","Hurricane","Katrina","08/29/2005 06:58","Stewart"
"26B","08/29/2005 09:00","29.7","89.6","135","923","NORTH NEAR 15 MPH","Hurricane","Katrina","08/29/2005 09:00","Pasch"
"27","08/29/2005 11:00","30.2","89.6","125","927","NORTH NEAR 16 MPH","Hurricane","Katrina","08/29/2005 10:44","Pasch"
"27A","08/29/2005 13:00","30.8","89.6","105","940","NORTH NEAR 17 MPH","Hurricane","Katrina","08/29/2005 13:02","Pasch"
"27B","08/29/2005 15:00","31.4","89.6","95","955","NORTH NEAR 18 MPH","Hurricane","Katrina","08/29/2005 15:00","Pasch"
"28","08/29/2005 17:00","31.9","89.6","75","960","NORTH NEAR 18 MPH","Hurricane","Katrina","08/29/2005 16:55","Pasch"
"28A","08/29/2005 20:00","32.9","88.9","65","965","NORTH-NORTHEAST NEAR 21 MPH","Tropical Storm","Katrina","08/29/2005 19:40","Franklin"
"29","08/29/2005 23:00","33.5","88.5","60","973","NORTH-NORTHEAST NEAR 22 MPH","Tropical Storm","Katrina","08/29/2005 22:34","Franklin"
"30","08/30/2005 05:00","34.7","88.4","50","981","NORTH-NORTHEAST NEAR 18 MPH","Tropical Storm","Katrina","08/30/2005 04:34","Beven"
"31","08/30/2005 11:00","36.3","87.5","35","985","NORTH-NORTHEAST NEAR 21 MPH","Tropical Depression","KATRINA","08/30/2005 10:37","Avila"
